City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Taksimo,RU,56.3444,114.8794,74.73,49,100,1.28,overcast clouds
153,Rock Sound,BS,24.9,-76.2,81.59,74,100,6.67,overcast clouds
154,Myitkyina,MM,25.3833,97.4,74.03,99,100,0.76,overcast clouds
155,Pisco,PE,-13.7,-76.2167,60.03,82,40,2.3,mist
156,Tomatlan,MX,19.9333,-105.25,79.34,70,100,2.17,overcast clouds
157,Qaanaaq,GL,77.484,-69.3632,44.71,64,100,4.61,overcast clouds
158,Yellowknife,CA,62.456,-114.3525,57.38,44,100,6.87,overcast clouds
159,Camana,PE,-16.6228,-72.7111,61.41,86,13,4.99,few clouds
160,Serebryansk,KZ,49.6925,83.2892,70.39,80,100,5.39,overcast clouds
161,Melfort,CA,52.8667,-104.6177,69.93,46,0,9.22,clear sky
162,Oyotun,PE,-6.8519,-79.3036,67.8,76,62,4.07,broken clouds
163,Faanui,PF,-16.4833,-151.75,80.35,73,11,17.69,few clouds
164,San Juan,AR,-31.5375,-68.5364,43.38,69,29,3.22,scattered clouds
165,Ambilobe,MG,-13.2,49.05,63.54,75,42,4.47,scattered clouds
166,Fairbanks,US,64.8378,-147.7164,80.6,38,0,6.91,smoke
167,Miraflores,MX,19.2167,-98.8083,66.85,79,81,3.87,broken clouds
168,Flin Flon,CA,54.7682,-101.865,68.23,52,83,10.31,broken clouds
169,Bethel,US,41.3712,-73.414,74.86,63,92,9.04,overcast clouds
170,Hailar,CN,49.2,119.7,76.32,53,33,3.94,scattered clouds
171,Kahului,US,20.8947,-156.47,84.22,54,40,19.57,scattered clouds
172,Cloquet,US,46.7216,-92.4594,62.19,59,54,8.05,broken clouds
173,Segovia,ES,41.1667,-4.0,48.27,85,0,1.7,clear sky
174,Dwarka,IN,22.2394,68.9678,83.64,76,98,8.28,overcast clouds
175,Hasaki,JP,35.7333,140.8333,97.29,70,33,7.92,scattered clouds
